payload,cf1_rmse_x,cf1_rmse_y,cf1_rmse_z,cf1_rmse_norm,cf1_rmse_normalized,cf2_rmse_x,cf2_rmse_y,cf2_rmse_z,cf2_rmse_norm,cf2_rmse_normalized
20,1.084,0.707,0.486,0.312,0.625,1.503,0.681,1.232,0.591,1.183
22,0.983,0.824,0.816,0.47,0.922,1.554,0.987,0.829,0.927,1.818
24,0.805,0.540,0.760,0.579,1.114,1.365,1.105,1.657,1.075,2.067
26,0.822,0.996,0.367,0.416,0.784,1.296,0.764,0.84,0.86,1.622
28,1.07,0.386,1.441,1.063,1.968,1.348,0.954,1.115,0.771,1.315
30,0.884,0.952,0.936,0.757,1.376,1.487,2.017,0.42,0.45,0.818
