payload,cf1_rmse_x,cf1_rmse_y,cf1_rmse_z,cf1_rmse_norm,cf1_rmse_normalized,cf2_rmse_x,cf2_rmse_y,cf2_rmse_z,cf2_rmse_norm,cf2_rmse_normalized
20,1.118,0.854,0.554,0.553,1.106,1.326,0.979,1.117,0.604,1.208
22,1.021,0.616,0.766,0.923,1.81,1.645,0.948,1.243,1.696,3.325
24,0.889,0.5,0.793,0.629,1.21,1.307,0.968,1.924,1.275,2.453
26,0.472,1.032,0.643,0.493,0.931,1.665,0.835,1.313,1.742,3.287
28,0.71,1.091,0.662,0.619,1.146,1.449,1.234,0.84,1.133,2.099
30,0.823,0.662,1.165,1.103,1.841,1.398,1.247,0.938,0.771,1.402
