payload,cf1_rmse_x,cf1_rmse_y,cf1_rmse_z,cf1_rmse_norm,cf1_rmse_normalized,cf2_rmse_x,cf2_rmse_y,cf2_rmse_z,cf2_rmse_norm,cf2_rmse_normalized
20,1.052,0.826,0.798,0.481,0.962,1.438,0.626,1.191,0.587,1.173
22,0.977,1.039,1.178,0.767,1.505,1.553,1.016,0.599,0.624,1.223
24,0.849,0.631,0.860,0.675,1.298,1.339,1.254,1.818,1.202,2.311
26,0.785,1.268,0.564,0.524,0.988,1.408,0.727,1.05,1.097,2.069
28,1.12,0.626,1.27,0.9935,1.732,1.43,1.102,0.984,0.524,0.97
30,1.018,1.149,0.958,0.919,2.298,1.399,2.191,0.823,0.436,1.09
