payload,cf1_rmse_x,cf1_rmse_y,cf1_rmse_z,cf1_rmse_norm,cf1_rmse_normalized,cf2_rmse_x,cf2_rmse_y,cf2_rmse_z,cf2_rmse_norm,cf2_rmse_normalized
20,1.282,0.577,0.588,0.69,1.379,1.316,1.061,1.234,0.67,1.34
22,1.158,0.603,0.949,1.248,2.448,1.678,1.062,1.099,1.322,2.593
24,0.946,0.501,0.97,0.6882,1.311,1.225,1.069,2.62,1.9,3.654
26,0.515,1.114,0.778,0.783,1.478,1.757,0.949,1.145,1.591,3.001
28,0.768,1.147,0.861,0.789,1.46,1.555,1.141,0.663,0.668,1.237
30,0.95,0.71,1.93,1.585,2.882,1.393,1.454,1.268,0.886,1.61
